state,action,reward(average)
4|5|0|0,1,0.0
4|5|0|0,2,0.0
4|5|0|0,5,0.0
0|6|3|3,7,0.5
0|6|3|3,5,0.6
0|6|3|3,3,1.107945205479452
0|6|3|3,6,0.5
0|6|3|3,4,1.0
0|6|3|3,2,0.0
7|7|3|3,3,1.8237572627501615
7|7|3|3,5,0.25
7|7|3|3,4,0.0
7|7|3|3,6,0.5
7|7|3|3,1,0.0
7|7|3|3,2,0.0
3|8|5|5,2,0.0
3|8|5|5,4,0.0
3|8|5|5,5,11.0
3|8|5|5,1,0.0
3|8|5|5,6,0.0
3|8|5|5,7,0.0
3|8|5|5,0,0.0
2|8|5|5,4,0.0
2|8|5|5,0,0.0
2|8|5|5,5,11.0
2|8|5|5,1,0.0
2|8|5|5,3,0.0
2|8|5|5,7,0.0
4|8|5|5,7,0.0
4|8|5|5,0,0.0
4|8|5|5,6,0.0
4|8|5|5,2,0.0
4|8|5|5,3,0.0
4|8|5|5,5,11.0
4|8|5|5,1,0.0
5|1|3|3,6,0.0
5|1|3|3,7,0.30725190839694655
3|3|6|7,5,0.0
3|3|6|7,6,0.0
3|3|6|7,4,0.0
3|3|6|7,7,2.0
3|3|6|7,2,0.0
5|3|6|7,3,0.0
5|3|6|7,4,0.0
5|3|6|7,2,0.26666666666666666
5|3|6|7,6,0.8571428571428571
6|3|6|7,5,0.0
6|3|6|7,7,2.0
6|1|2|2,2,1.8641479099678457
6|1|2|2,0,0.0
6|1|2|2,5,0.0
6|1|2|2,3,0.6666666666666666
6|1|2|2,7,0.0
6|1|2|2,4,0.3333333333333333
0|6|3|4,1,0.0
0|6|3|4,6,0.0
0|6|3|4,2,0.0
0|6|3|4,7,0.0
0|6|3|4,4,1.0
1|6|3|4,3,0.0
1|6|3|4,5,0.36065573770491804
1|6|3|4,6,0.0
1|6|3|4,2,0.0
6|1|0|0,1,0.18275862068965518
6|1|0|0,4,0.1
6|1|0|0,2,0.18253968253968253
6|1|0|0,3,0.0
6|1|0|0,7,0.0
6|1|0|0,0,1.7220812182741116
6|1|0|0,5,0.0
1|2|0|0,3,0.300990099009901
1|2|0|0,6,0.25
1|2|0|0,2,0.25
1|2|0|0,7,0.0
1|2|0|0,0,1.6957494407158837
1|2|0|0,4,0.0
1|2|0|0,5,0.0
3|5|0|0,1,0.25
3|5|0|0,7,0.0
3|5|0|0,5,0.0
3|5|0|0,2,0.0
3|5|0|0,6,0.3333333333333333
3|5|0|0,4,0.38923395445134573
3|5|0|0,0,1.1758241758241759
1|5|0|0,6,0.0
1|5|0|0,3,0.19047619047619047
1|5|0|0,4,0.3472222222222222
1|5|0|0,7,0.5238095238095238
1|5|0|0,2,0.45454545454545453
1|5|0|0,0,1.1856127886323269
1|5|0|0,5,0.25
7|5|0|0,2,0.2
7|5|0|0,0,1.2231139646869984
7|5|0|0,5,0.3333333333333333
7|5|0|0,3,0.2222222222222222
7|5|0|0,6,0.0
7|5|0|0,4,0.0
7|5|0|0,1,0.8
3|1|1|0,5,0.0
3|1|1|0,2,0.0
3|1|1|0,4,0.0
3|1|1|0,1,0.0
3|1|1|0,6,0.132486388384755
3|1|1|0,7,0.0
7|1|1|0,6,0.17845117845117844
7|1|1|0,3,0.14285714285714285
2|3|1|3,6,0.0
2|3|1|3,4,0.0
2|3|1|3,7,0.5211267605633803
5|1|6|0,6,0.0
5|1|6|0,7,0.12195121951219512
6|1|6|0,5,0.0
6|1|6|0,0,1.1123188405797102
6|1|6|0,2,0.0
6|1|6|0,4,0.0
7|2|6|0,6,0.0
7|2|6|0,1,0.0
7|2|6|0,2,0.21428571428571427
7|2|6|0,3,0.0
6|2|6|0,3,0.0
6|2|6|0,2,0.0
6|2|6|0,1,0.0
6|2|6|0,4,0.0
6|2|6|0,5,0.16666666666666666
6|2|6|0,0,1.0714285714285714
3|2|6|0,5,0.3082191780821918
3|2|6|0,7,0.0
3|2|6|0,6,0.0
5|3|6|0,7,0.35714285714285715
5|3|6|0,4,0.0
5|3|6|0,0,1.0185185185185186
3|1|7|1,2,0.0
3|1|7|1,6,0.0
3|1|7|1,1,1.1403508771929824
2|1|7|1,1,1.1176470588235294
2|1|7|1,4,0.0
2|1|7|1,7,0.5
1|2|7|3,3,1.115702479338843
3|3|7|7,5,0.33225806451612905
3|3|7|7,0,0.0
3|3|7|7,4,0.0
3|3|7|7,7,2.3684210526315788
5|4|7|7,2,0.0
5|4|7|7,0,0.18823529411764706
5|4|7|7,7,2.273730684326711
5|4|7|7,4,1.0
2|4|7|7,5,0.0
2|4|7|7,0,0.23684210526315788
2|4|7|7,1,0.0
3|2|7|7,4,0.0
3|2|7|7,5,0.0
3|2|7|7,0,0.1715686274509804
4|2|7|7,2,0.15656565656565657
4|2|7|7,5,0.0
2|2|7|7,3,0.3333333333333333
2|2|7|7,5,0.5
2|2|7|7,7,2.641509433962264
2|2|7|7,4,0.0
2|2|7|7,1,0.0
5|2|7|7,6,0.2679738562091503
5|2|7|7,2,0.0
5|2|7|7,4,0.0
6|3|7|7,2,0.0
6|3|7|7,4,0.0
6|3|7|7,7,2.376736111111111
6|3|7|7,0,1.0
6|3|7|7,3,1.0
2|3|7|7,3,0.0
2|3|7|7,0,0.3333333333333333
2|3|7|7,1,0.045871559633027525
2|3|7|7,4,0.0
2|3|7|7,7,2.4024024024024024
2|3|7|7,6,0.0
4|2|3|3,3,2.1578947368421053
4|2|3|3,7,0.5
4|2|3|3,6,0.0
4|2|3|3,5,1.0
0|5|1|1,3,0.4
0|5|1|1,1,1.1650038372985418
0|5|1|1,6,0.6
0|5|1|1,7,0.0
0|5|1|1,5,0.6666666666666666
0|5|1|1,2,0.25
0|5|1|1,4,0.0
3|6|1|1,1,1.174780526735834
3|6|1|1,4,0.3333333333333333
3|6|1|1,5,0.5
3|6|1|1,7,0.0
3|6|1|1,0,0.0
3|6|1|1,2,0.0
3|6|1|1,6,0.0
1|8|2|2,6,0.0
1|8|2|2,4,0.0
